Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,age70plus,3964197,1166145,1004870,161275,2798052,954231,60313,363996,310863,53132,46923,26693,20230,471603,35229,8845,14538,473268,341720,27387,103943,102390,41518,36498,366,24009,1552,3860255,13621435
1989:Q3,age55to69,8015961,2365520,1902011,463509,5650441,981987,169960,356883,312110,44774,189728,111162,78566,753803,100229,132425,190823,1700516,1016071,58016,428739,424348,292769,91039,1106,39433,4391,7587222,19197157
1989:Q3,age40to54,7781766,3146215,2473161,673054,4635551,657246,95709,240294,174266,66028,46111,27532,18579,643636,130709,157287,362344,1092225,1128801,81189,1242232,1236409,872870,300369,1620,61548,5824,6539534,24579466
1989:Q3,ageunder40,3830840,2111469,1513126,598342,1719371,363004,36662,85305,76684,8622,11104,3475,7629,221402,94025,30275,117486,216322,483030,60757,1377860,1373651,1003997,356301,1440,11913,4209,2452980,35622043
1989:Q4,age70plus,4086326,1223290,1051144,172146,2863036,971009,65454,365596,310209,55387,55562,32334,23228,477456,36885,9102,14328,485912,353385,28348,102167,100395,39786,37263,356,22990,1771,3984159,13724617
1989:Q4,age55to69,8183765,2410775,1943688,467087,5772990,988592,172319,359054,311324,47730,197990,119462,78528,790000,106824,136831,200970,1729612,1031248,59550,451810,447108,306708,99589,1092,39718,4702,7731955,19250073
1989:Q4,age40to54,7886536,3140461,2467049,673413,4746075,669571,100440,248223,181165,67058,49001,30559,18442,659089,132872,164574,377366,1133003,1129742,82192,1268873,1262906,895260,304191,1537,61918,5967,6617662,24596086
1989:Q4,ageunder40,3888900,2145374,1532437,612938,1743525,370876,39023,85066,76099,8967,11951,4309,7642,225559,95050,30533,122532,218540,482451,61946,1404694,1400486,1018827,368241,1405,12012,4208,2484206,35691463
1990:Q1,age70plus,4095117,1233225,1049867,183358,2861891,977917,73354,359896,306706,53190,71561,45050,26511,430806,37033,9352,12091,496090,363304,30488,100806,99166,40916,34506,442,23302,1640,3994311,13824828
1990:Q1,age55to69,8222673,2429676,1949264,480412,5792997,982430,179923,353212,306051,47161,211923,133331,78592,757779,111524,141063,199305,1750847,1042910,62080,472976,468269,325758,98683,1381,42447,4707,7749697,19289216
1990:Q1,age40to54,7949298,3161313,2477836,683477,4787986,671068,108011,250294,186653,63641,53654,35381,18273,634190,133789,171956,379448,1171311,1130152,84112,1293044,1287237,928081,294551,1872,62732,5807,6656254,24635411
1990:Q1,ageunder40,3891290,2155753,1536017,619737,1735537,369055,42371,85864,75697,10167,14105,6432,7673,210736,95648,30770,123356,219693,480028,63910,1423560,1419418,1040644,364580,1762,12433,4142,2467730,35754314
1990:Q2,age70plus,4195108,1281740,1087981,193759,2913368,985449,72054,368540,313330,55210,76866,47226,29639,438861,37686,10096,10288,507279,375762,30487,101326,99692,42728,33881,361,22723,1633,4093782,13922138
1990:Q2,age55to69,8356047,2470557,1988500,482057,5885489,976543,168329,366792,316675,50117,213351,135249,78103,797946,116787,151268,200552,1773741,1057501,62678,492920,488103,340816,102606,1148,43532,4817,7863126,19315451
