Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17642586,5648622,4588052,1060570,11993964,2433384,309822,871927,745014,126913,277515,162988,114527,1707411,219472,274030,454999,3103469,2202945,138991,1267459,1257775,831943,308962,2354,114516,9684,16375126,48553376
1989:Q3,BabyBoom,5819221,3051282,2260997,790285,2767940,510450,52446,169719,124456,45263,16351,5874,10477,379142,137861,54773,228962,378316,754594,85324,1831801,1825637,1355516,445778,2171,22173,6164,3987420,39289625
1989:Q3,GenX,130957,89446,44121,45325,41511,12634,375,4833,4453,380,0,0,0,3891,2859,28,1229,545,12083,3034,53514,53386,23697,29467,7,215,128,77443,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17902167,5722356,4654553,1067802,12179812,2443599,315041,880355,747525,132830,293340,175874,117466,1755107,225896,281009,472661,3153640,2217849,141317,1291099,1281070,848064,315460,2299,115248,10028,16611069,48581895
1989:Q4,BabyBoom,5991999,3099507,2291886,807622,2892491,538869,61448,172196,126443,45753,21163,10789,10374,393085,142129,59860,240236,410715,765470,87319,1875962,1869542,1386789,459548,2081,21125,6420,4116036,39314788
1989:Q4,GenX,151360,98037,47878,50159,53323,17580,748,5388,4828,560,0,0,0,3913,3605,172,2298,2712,13507,3400,60483,60283,25729,34277,10,266,200,90877,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17962610,5735540,4643612,1091928,12227070,2433660,326221,873084,743626,129458,315488,194714,120773,1706228,229878,287891,478583,3202150,2228063,145824,1310359,1300512,874634,306336,2884,116660,9847,16652251,48563739
1990:Q1,BabyBoom,6030969,3136531,2315718,820812,2894439,546358,75882,170188,126202,43985,35755,25479,10277,327283,143985,64927,234904,430858,773523,90776,1911710,1905454,1429545,449396,2556,23958,6256,4119259,39352975
1990:Q1,GenX,164799,107897,53654,54243,56903,20453,1557,5993,5279,714,0,0,0,0,4131,323,712,4934,14810,3990,68318,68124,31221,36588,19,296,193,96481,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,18181660,5802589,4707678,1094910,12379071,2424567,316402,897843,762762,135081,324124,200739,123386,1760037,234502,295184,487381,3250552,2242366,146113,1332918,1323073,897609,305504,2360,117600,9845,16848742,48501343
1990:Q2,BabyBoom,6147489,3162053,2324577,837476,2985437,555620,71585,179327,135030,44297,35764,25595,10168,346401,146802,80878,234116,456650,786556,91738,1946992,1940745,1461868,452531,2056,24290,6247,4200497,39403449
1990:Q2,GenX,178551,112908,52907,60001,65643,23774,968,6651,5697,954,0,0,0,0,4817,1105,0,7407,16627,4294,77702,77484,36440,40677,19,348,218,100849,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,18157900,5828294,4717706,1110589,12329606,2419486,325405,922930,787024,135907,334362,208187,126176,1600112,238208,301486,484401,3297629,2257370,148216,1348722,1338911,913554,306668,1026,117663,9811,16809178,48397139
1990:Q3,BabyBoom,6084000,3225759,2383434,842325,2858241,570229,84445,190210,146759,43451,38195,28133,10061,160881,148857,78016,218329,473575,801569,93935,1979793,1973573,1493502,459696,882,19494,6220,4104207,39465470
1990:Q3,GenX,201844,124827,61587,63240,77017,28062,1731,7332,6133,1199,0,0,0,0,5465,836,0,10035,18757,4799,86839,86599,40210,45938,9,441,240,115005,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,18400625,5793702,4673470,1120232,12606923,2425774,326101,971821,811831,159990,348409,219792,128617,1722387,241903,308045,504191,3344444,2263787,150061,1358191,1348156,921376,306641,1154,118985,10035,17042434,48253561
