Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1989:Q3,pct99to100,3549714,801362,535482,265880,2748352,318265,98059,396865,305383,91482,71380,64729,6652,751191,42018,11265,95128,106980,840175,17027,151768,150032,99228,27117,1333,22354,1736,3397946,932085,244112,269339680
1989:Q3,pct80to99,10452052,3736847,3036663,700183,6715206,1223795,172541,398456,367889,30567,128004,47779,80225,926531,174315,201804,412070,1556892,1424002,96796,1484790,1476990,1149679,250302,1680,75329,7801,8967262,17675318,52161,244112
1989:Q3,pct60to80,4217051,1839535,1408279,431257,2377516,529881,58029,130248,98270,31977,26458,13811,12647,227156,76656,67856,82485,847327,281268,50152,838755,835324,565700,244684,386,24554,3431,3378296,18601249,32302,52161
1989:Q3,pct40to60,2972791,1250833,999838,250995,1721958,453567,19935,79930,64065,15865,24564,7577,16987,120511,33775,40254,39305,628717,247878,33521,425094,423581,258913,159522,730,4417,1512,2547697,18605233,20512,32291
1989:Q3,pct20to40,1748750,841808,669590,172218,906942,317186,11911,32903,31499,1405,38974,34266,4708,41505,21362,6687,49067,238036,128551,20759,189179,188223,113386,69864,249,4724,956,1559571,18612879,10366,20458
1989:Q3,pct00to20,652405,318964,243317,75647,333442,113774,2168,8077,6817,1260,4486,701,3785,23550,12066,966,7137,104377,47747,9093,63188,62648,24249,32719,154,5526,540,589218,18593339,0,10361
1989:Q4,pct99to100,3634745,818412,548541,269872,2816333,324880,104260,401517,308844,92673,79049,70696,8353,762027,42297,11948,100748,113680,858635,17291,160512,158503,105163,27248,1265,24826,2009,3474233,934371,,
1989:Q4,pct80to99,10639321,3790435,3084009,706426,6848886,1242357,179735,406281,371167,35113,133926,55335,78591,958898,179373,207297,429923,1590640,1422259,98198,1509629,1501565,1170413,257038,1634,72479,8064,9129692,17723083,,
1989:Q4,pct60to80,4304003,1863357,1427403,435954,2440646,535694,57360,131514,99266,32248,27977,15238,12739,233610,78164,72300,90472,872730,289615,51210,855916,852454,577288,250780,373,24012,3462,3448087,18647836,,
1989:Q4,pct40to60,3015306,1263102,1007769,255333,1752203,461959,21134,77862,61965,15897,28319,9606,18714,126933,36648,40814,40247,632243,251681,34364,436574,435011,265095,164158,703,5054,1563,2578732,18654257,,
1989:Q4,pct20to40,1772684,846474,668480,177994,926209,319923,12449,32750,30982,1768,40174,34892,5282,45894,22968,7604,47009,250627,125365,21448,198271,197263,115837,76305,263,4858,1008,1574413,18660668,,
1989:Q4,pct00to20,679468,338120,258116,80004,341349,115235,2299,8016,6571,1445,5058,897,4162,24742,12182,1078,6796,107147,49271,9524,66643,66099,26784,33756,150,5409,544,612825,18642024,,
