Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Miscellaneous other equity,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count,Minimum Wealth Cutoff
1989:Q3,TopPt1,1802302,334811,139254,195557,1467490,132471,36459,276018,175507,100511,74254,68305,5949,305340,13646,1442,22237,14873,586079,4671,45133,44667,14499,21065,361,8742,467,1757168,103864,7794573
1989:Q3,RemainingTop1,2989040,642435,479105,163330,2346604,402318,73018,228014,210315,17699,51681,39024,12658,590198,33771,12949,71628,145079,723594,14353,84766,83256,65913,5120,817,11406,1510,2904273,824835,2306199
1989:Q3,Next9,8247017,2442618,2023859,418759,5804399,1121868,147549,388728,345867,42861,127271,45793,81479,811434,106088,158738,294825,1573582,1015740,58576,481153,476407,373967,58994,1273,42174,4746,7765864,8368077,486991
1989:Q3,Next40,8849696,4179615,3425336,754279,4670081,1137171,98226,141004,130200,10804,39241,15374,23867,359529,163427,141556,256463,1620043,603923,109496,1554867,1547554,1149188,355269,1334,41763,7313,7294829,37209575,66091
1989:Q3,Bottom50,1704710,1189870,825615,364255,514840,162639,7390,12715,12035,680,1418,367,1051,23943,43260,14147,40037,128754,40285,40252,986854,984914,607588,343758,748,32819,1940,717856,46513751,
1989:Q4,TopPt1,1856293,350951,152996,197956,1505342,136443,40697,276531,177122,99410,80700,73671,7028,318765,13835,1329,21567,17537,593204,4734,43817,43306,14687,19570,351,8698,512,1812476,102687,
1989:Q4,RemainingTop1,3057994,664137,501151,162985,2393858,400715,76485,233866,213142,20724,56839,42972,13866,602178,33992,13865,74889,155545,730971,14513,90712,89004,69417,6128,785,12675,1707,2967283,828704,
1989:Q4,Next9,8390273,2487027,2070883,416144,5903246,1133675,152715,391844,346417,45427,133893,52263,81630,830478,110905,164120,308572,1591390,1025957,59697,499148,494160,386947,63302,1228,42684,4987,7891125,8382034,
1989:Q4,Next40,9015852,4218645,3445677,772969,4797207,1162751,99925,142766,129938,12828,41458,17296,24162,375310,168702,147606,268528,1672661,605852,111648,1579017,1571553,1167130,361748,1279,41397,7464,7436835,37314703,
1989:Q4,Bottom50,1725114,1199140,823610,375530,525974,166465,7415,12932,12177,755,1613,460,1153,25373,44197,14119,41639,129934,40843,41444,1014850,1012872,622402,358537,748,31185,1979,710263,46634110,
1990:Q1,TopPt1,1838256,349354,162793,186561,1488903,134526,48146,268886,176682,92204,92268,84112,8156,287003,13413,1225,20354,20229,597942,4911,42259,41799,15383,17236,436,8744,460,1795997,101616,
1990:Q1,RemainingTop1,3047569,668853,503707,165147,2378716,392438,82462,236093,213926,22167,60561,45395,15166,567393,33085,14781,75232,165206,736615,14851,96091,94565,72748,6476,970,14371,1526,2951478,832402,
1990:Q1,Next9,8387675,2478485,2049457,429028,5909190,1132726,161966,389491,343666,45825,149996,68058,81938,784051,114054,169408,310516,1601785,1033576,61620,521336,516407,408800,61286,1520,44801,4929,7866339,8397071,
1990:Q1,Next40,9114968,4244537,3446873,797664,4870431,1173021,103472,141777,128564,13213,46516,21998,24518,370390,172613,153638,266611,1719826,606854,115713,1593877,1586445,1194753,348053,1575,42064,7432,7521091,37418393,
1990:Q1,Bottom50,1769910,1238738,850154,388584,531171,167760,7614,13017,12269,748,1902,631,1271,24674,44829,14090,41488,130895,41408,43494,1036823,1034875,643715,359269,957,30934,1949,733086,46754287,
1990:Q2,TopPt1,1880500,362663,173951,188712,1517837,133170,44406,274735,184580,90156,94146,84885,9261,303644,13217,851,19291,22862,606627,4887,41178,40734,16074,15559,359,8742,444,1839321,100648,
1990:Q2,RemainingTop1,3105699,686757,522316,164441,2418943,384411,79772,247706,222178,25528,66671,50252,16419,581554,32541,15967,76341,175256,743866,14857,100839,99359,75625,7154,778,15802,1479,3004861,835935,
1990:Q2,Next9,8499205,2511232,2085970,425262,5987972,1132769,157124,401503,353087,48416,150277,68498,81779,807028,117799,183895,315718,1615241,1044509,62108,543647,538668,428662,62897,1229,45880,4979,7955558,8413142,
1990:Q2,Next40,9252765,4284880,3469957,814924,4967885,1184371,100467,146502,131096,15406,46727,22002,24725,387934,176998,162340,268351,1769313,608581,116299,1614004,1606538,1217147,346083,1260,42048,7465,7638761,37520765,
1990:Q2,Bottom50,1769532,1232017,832969,399048,537515,169239,7186,13374,12548,825,2066,696,1370,26279,45566,14114,41796,131935,41966,43993,1057944,1056002,658409,367019,808,29766,1943,711587,46874346,
1990:Q3,TopPt1,1817040,359183,186736,172447,1457857,133330,50778,279870,194882,84988,97219,86816,10404,217746,12827,961,17816,25522,616828,4959,39627,39204,16420,13989,158,8637,424,1777413,99780,
1990:Q3,RemainingTop1,3051353,693783,527081,166702,2357570,377734,84972,260434,232356,28078,72783,55046,17737,487174,31599,16686,74991,184728,751457,15012,105321,103909,78902,7982,330,16695,1412,2946033,839313,
1990:Q3,Next9,8414712,2510490,2072757,437733,5904222,1135967,165135,415286,365396,49890,152722,71059,81663,677728,120987,182258,311066,1623305,1056496,63272,559543,554529,443603,65534,529,44863,5014,7855169,8430203,
1990:Q3,Next40,9338704,4332356,3500067,832288,5006349,1199413,103375,151166,134425,16741,47569,22614,24955,355534,180918,166387,258225,1814873,610396,118492,1631596,1624108,1235862,347056,534,40655,7488,7707109,37621938,
1990:Q3,Bottom50,1821934,1283067,876084,406984,538867,171333,7320,13717,12858,859,2264,785,1478,22810,46199,14045,40632,132813,42520,45214,1079267,1077334,672479,377742,366,26747,1933,742667,46994353,
1990:Q4,TopPt1,1904675,359164,197089,162074,1545511,137248,52784,297251,206094,91157,104568,93020,11548,268122,12487,869,17188,28146,621820,5026,37973,37521,16326,12319,178,8698,452,1866701,99008,
1990:Q4,RemainingTop1,3143938,697132,529308,167824,2446806,374985,86734,279393,243031,36362,76915,57867,19047,536477,30704,17607,78633,194473,755733,15151,111961,110419,82834,8828,363,18393,1541,3031977,842544,
1990:Q4,Next9,8563163,2498816,2054271,444544,6064347,1147417,167588,435109,378230,56879,163776,82487,81290,750924,124289,187513,326798,1633481,1063064,64387,573138,567933,452598,67819,587,46929,5206,7990024,8448208,
1990:Q4,Next40,9463486,4310058,3460919,849139,5153428,1224317,103692,161319,137758,23561,50947,25842,25105,390546,184920,172433,272126,1862058,610522,120548,1646886,1639281,1250812,346619,586,41264,7606,7816600,37722029,
1990:Q4,Bottom50,1872029,1320268,904808,415460,551760,175062,7207,14292,13156,1137,2529,952,1577,26143,46850,14015,42451,133744,43092,46376,1104844,1102885,687241,388806,423,26415,1959,767184,47114373,
1991:Q1,TopPt1,1989503,368967,207407,161560,1620536,137107,65769,282785,193584,89201,106546,93922,12623,345560,12174,925,16807,30763,617085,5016,35893,35468,16314,10118,314,8722,425,1953610,98330,
1991:Q1,RemainingTop1,3247042,706544,539273,167271,2540499,367391,97171,274496,232507,41989,83675,63452,20223,612111,29816,18378,83932,204224,754154,15151,117593,116153,86559,9087,627,19879,1441,3129449,845637,
1991:Q1,Next9,8717798,2507407,2063679,443728,6210392,1149669,183975,418413,357772,60642,163925,83748,80177,861585,127646,187792,349321,1643443,1059705,64917,581377,576161,462030,64956,1017,48157,5216,8136421,8467114,
1991:Q1,Next40,9597556,4304140,3435771,868369,5293417,1238098,110266,158504,130779,27725,50983,25980,25004,437348,188955,177017,294154,1909154,607765,121171,1644906,1637293,1264760,330207,1007,41319,7613,7952651,37821158,
1991:Q1,Bottom50,1892578,1328130,901273,426857,564448,176955,7688,14316,13028,1287,2687,1050,1637,30809,47507,13958,45261,134662,43705,46902,1115910,1113967,700028,387839,763,25337,1944,776668,47234471,
1991:Q2,TopPt1,1981677,372339,218891,153448,1609337,129282,60275,287097,201157,85940,106117,92331,13786,341295,12109,884,15833,33357,618064,5024,34637,34248,16962,8441,97,8747,390,1947039,97741,
1991:Q2,RemainingTop1,3262409,717445,549884,167561,2544965,350708,92978,287488,239708,47780,92711,71173,21538,602236,29368,19250,85678,214240,755134,15173,122056,120752,89566,9661,184,21341,1304,3140353,848598,
1991:Q2,Next9,8730552,2515718,2069490,446228,6214834,1134245,176939,429299,365095,64203,158905,79481,79423,852340,131706,191472,357571,1655507,1061287,65563,601717,596518,481469,65458,305,49285,5199,8128836,8486875,
1991:Q2,Next40,9690324,4333056,3450601,882456,5357267,1230473,106263,164313,132356,31957,49463,24427,25036,445501,193556,182603,298984,1957864,606196,122051,1660856,1653254,1287203,324457,295,41299,7601,8029468,37919443,
1991:Q2,Bottom50,1915051,1347950,913945,434005,567101,175311,7160,14707,13271,1436,2840,1116,1724,31443,48290,13921,45944,135634,44305,47545,1135062,1133140,715451,393289,243,24158,1921,779989,47354714,
1991:Q3,TopPt1,2011469,367116,231106,136010,1644353,125742,59464,285544,211852,73692,109391,94514,14876,380084,11591,879,15200,35961,615459,5037,34099,33744,17732,6997,82,8933,356,1977370,97239,
1991:Q3,RemainingTop1,3316417,721645,552163,169482,2594772,338560,92403,297646,249408,48238,99440,76731,22709,635986,28014,20085,89650,224199,753595,15194,126208,125042,91093,10202,148,23599,1166,3190209,851438,
1991:Q3,Next9,8813178,2508048,2049595,458453,6305130,1128188,175727,439477,376062,63415,161686,83734,77952,904862,134441,193956,374915,1666862,1058795,66220,622520,617338,496977,66620,249,53493,5182,8190658,8507447,
1991:Q3,Next40,9841231,4380771,3482260,898511,5460460,1234066,104857,165691,134923,30768,50191,25369,24821,473602,197059,187834,314716,2006128,603376,122941,1668252,1660663,1296207,320921,237,43298,7589,8172979,38017004,
1991:Q3,Bottom50,1971213,1396284,955265,441019,574929,175526,6881,14903,13555,1348,3029,1258,1771,34218,48828,13878,47959,136580,44930,48196,1138052,1136153,712494,397760,209,25690,1899,833161,47475167,
1991:Q4,TopPt1,2123428,371672,244426,127246,1751756,125977,60527,282018,216659,65358,116207,100425,15782,488798,11333,853,14683,38568,607692,5100,33771,33441,18517,5625,160,9139,330,2089657,96821,
