spec,index,test,n_lags,p_value
Level,K,contemporaneous,0,0.5275382129687616
Level,K,lagged_joint_F,1,0.5557819871776696
Level,K,lagged_joint_F,2,0.6392270270820599
Level,K,lagged_joint_F,3,0.5058346711485663
Level,K,lagged_joint_F,4,0.07972261814984066
Level,BEDI,contemporaneous,0,0.8074545808494671
Level,BEDI,lagged_joint_F,1,0.23554661511349867
Level,BEDI,lagged_joint_F,2,0.506323792410058
Level,BEDI,lagged_joint_F,3,0.6311705216205408
Level,BEDI,lagged_joint_F,4,0.738447973712683
Direction,K,contemporaneous,0,0.00017536392080096282
Direction,K,lagged_joint_F,1,0.1439844081534837
Direction,K,lagged_joint_F,2,0.12619748312779377
Direction,K,lagged_joint_F,3,0.15643912276583605
Direction,K,lagged_joint_F,4,0.22798229639368173
Direction,BEDI,contemporaneous,0,0.006072315570625634
Direction,BEDI,lagged_joint_F,1,0.6397345302518102
Direction,BEDI,lagged_joint_F,2,0.8836829911939593
Direction,BEDI,lagged_joint_F,3,0.4745206412593367
Direction,BEDI,lagged_joint_F,4,0.2189566042180438
Difference,K,contemporaneous,0,0.005462973503699662
Difference,K,lagged_joint_F,1,0.42140092295165243
Difference,K,lagged_joint_F,2,0.4796371457363304
Difference,K,lagged_joint_F,3,0.12729590086051548
Difference,K,lagged_joint_F,4,0.06892685707357125
Difference,BEDI,contemporaneous,0,2.1162182681997233e-08
Difference,BEDI,lagged_joint_F,1,0.5493257902036125
Difference,BEDI,lagged_joint_F,2,0.5665480823317667
Difference,BEDI,lagged_joint_F,3,0.6142687185411151
Difference,BEDI,lagged_joint_F,4,0.16203697588963342
