spec,test,n_lags,coef_or_F,p_value
Level of K,contemporaneous,0,-0.002080803900326743,0.8813454906169135
Level of K,lagged_joint_F,1,1.1314103300689282,0.29258493025852494
Level of K,lagged_joint_F,2,0.6424563902309753,0.530371625814908
Level of K,lagged_joint_F,3,4.540193962233771,0.00701118509732048
Level of K,lagged_joint_F,4,4.9070675198773595,0.002173757437125892
Level of K,contemporaneous_ex_outliers,0,-0.013918259893308523,0.40401332441430027
Difference of K,contemporaneous,0,0.09196804220931563,0.025657738229351492
Difference of K,lagged_joint_F,1,0.026661800660536916,0.8709527040488025
Difference of K,lagged_joint_F,2,5.477948899404744,0.007127252586871196
Difference of K,lagged_joint_F,3,6.585247586413545,0.0008099939349837847
Difference of K,lagged_joint_F,4,5.037466791036268,0.0018391915718035084
Difference of K,contemporaneous_ex_outliers,0,0.08814540032073692,0.007914892726175397
Direction of K,contemporaneous,0,0.07721701297241858,0.0005937878165823232
Direction of K,lagged_joint_F,1,0.2709480961327172,0.604993972157716
Direction of K,lagged_joint_F,2,0.7762667571725363,0.4656957549686282
Direction of K,lagged_joint_F,3,0.9245712918238217,0.4361221636472872
Direction of K,lagged_joint_F,4,0.8215298171074681,0.518041646368064
Direction of K,contemporaneous_ex_outliers,0,0.07034140621941928,0.0005531487384105938
